record_id,province,district,ds_division,safe_zone_id,safe_zone_name,camp_id,camp_name,latitude,longitude,population,children_count,elderly_count,food_available,water_available,medicine_available,sanitary_available,distance_from_distribution_center,camp_capacity,road_access_status,nearest_distribution_center,camp_priority,food_priority,water_priority,medicine_priority,sanitary_priority,human_error_flag,human_error_type
PF-RD-00683,Uva,Badulla,Mahiyanganaya,SZ-0068,Mahiyanganaya Divisional Secretariat Hall Safe Zone,CAMP-00683,Mahiyanganaya Relief Camp 683,7.030417,80.957777,204,55,22,128,2315,17,44,11.9,224,Good,Badulla Army Relief Point,Medium,Medium,Medium,High,Medium,No,None
PF-RD-00684,Eastern,Ampara,Akkaraipattu,SZ-0038,Akkaraipattu Primary School Safe Zone,CAMP-00684,Akkaraipattu Relief Camp 684,7.379439,81.706598,229,48,10,65,4053,44,115,15.5,333,Good,Ampara GN Division Collection Hub,Low,High,Low,Low,Low,No,None
PF-RD-00685,Western,Colombo,Kolonnawa,SZ-0002,Kolonnawa Primary School Safe Zone,CAMP-00685,Kolonnawa Relief Camp 685,6.868439,79.792886,185,32,8,147,3294,22,24,13.8,297,Good,Colombo District Relief Warehouse,Medium,Medium,Low,Medium,High,No,None
PF-RD-00686,Central,Nuwara Eliya,Walapane,SZ-0048,Walapane Maha Vidyalaya Safe Zone,CAMP-00686,Walapane Relief Camp 686,6.942727,80.713065,254,31,32,217,1147,21,115,12.0,194,Good,Nuwara Eliya GN Division Collection Hub,Medium,Low,High,Medium,Low,No,None
PF-RD-00687,Western,Colombo,Kolonnawa,SZ-0002,Kolonnawa Primary School Safe Zone,CAMP-00687,Kolonnawa Relief Camp 687,6.861135,79.797444,637,171,65,757,9243,156,219,24.1,878,Good,Colombo District Relief Warehouse,Low,Low,Low,Medium,Medium,No,None
PF-RD-00688,Southern,Galle,Hikkaduwa,SZ-0013,Hikkaduwa Maha Vidyalaya Safe Zone,CAMP-00688,Hikkaduwa Relief Camp 688,6.046849,80.253429,216,49,20,125,3147,13,48,2.6,327,Good,Galle DMC Coordination Centre,Medium,Medium,Low,High,Medium,No,None
PF-RD-00689,Northern,Mullaitivu,Maritimepattu,SZ-0029,Maritimepattu Sports Complex Safe Zone,CAMP-00689,Maritimepattu Relief Camp 689,9.262107,80.847508,72,18,14,74,1017,9,33,4.8,122,Good,Mullaitivu District Relief Warehouse,Low,Low,Low,High,Low,No,None
PF-RD-00690,Northern,Jaffna,Karainagar,SZ-0022,Karainagar Primary School Safe Zone,CAMP-00690,Karainagar Relief Camp 690,9.69509,80.017871,253,57,20,293,1844,52,66,9.9,321,Good,Jaffna District Relief Warehouse,Low,Low,Medium,Medium,Medium,No,None
PF-RD-00691,Sabaragamuwa,Ratnapura,Balangoda,SZ-0063,Balangoda Primary School Safe Zone,CAMP-00691,Balangoda Relief Camp 691,6.757385,80.445324,569,74,51,381,1834,42,140,6.6,1182,Good,Ratnapura District Secretariat Stores,Medium,Medium,High,Medium,Medium,No,None
PF-RD-00692,Eastern,Batticaloa,Batticaloa,SZ-0033,Batticaloa Maha Vidyalaya Safe Zone,CAMP-00692,Batticaloa Relief Camp 692,7.71214,81.679721,917,179,94,847,11064,159,218,22.3,1757,Limited,Batticaloa DMC Coordination Centre,Medium,Low,Medium,Low,High,No,None
PF-RD-00693,Southern,Galle,Hikkaduwa,SZ-0013,Hikkaduwa Maha Vidyalaya Safe Zone,CAMP-00693,Hikkaduwa Relief Camp 693,6.045851,80.268072,360,48,47,131,1810,75,84,15.0,343,Good,Galle DMC Coordination Centre,Medium,High,High,Low,Medium,No,None
PF-RD-00694,Uva,Moneragala,Siyambalanduwa,SZ-0069,Siyambalanduwa Public Ground Safe Zone,CAMP-00694,Siyambalanduwa Relief Camp 694,6.79452,81.347672,996,308,115,344,7447,94,161,14.1,972,Limited,Moneragala Army Relief Point,Medium,High,Medium,Medium,High,No,None
PF-RD-00695,Eastern,Trincomalee,Kinniya,SZ-0039,Kinniya Divisional Secretariat Hall Safe Zone,CAMP-00695,Kinniya Relief Camp 695,8.627212,81.273557,266,65,27,200,744,39,40,9.2,500,Good,Trincomalee GN Division Collection Hub,Medium,Medium,High,Medium,High,No,None
PF-RD-00696,Uva,Moneragala,Siyambalanduwa,SZ-0069,Siyambalanduwa Public Ground Safe Zone,CAMP-00696,Siyambalanduwa Relief Camp 696,6.791394,81.329838,143,15,14,117,677,5,38,22.3,305,Limited,Moneragala Army Relief Point,Medium,Medium,High,High,Medium,No,None
PF-RD-00697,Western,Colombo,Kolonnawa,SZ-0001,Kolonnawa Cooperative Hall Safe Zone,CAMP-00697,Kolonnawa Relief Camp 697,6.985756,79.831623,806,300,44,682,5187,148,240,16.3,1763,Good,Colombo District Relief Warehouse,Medium,Medium,High,Medium,High,No,None
PF-RD-00698,Eastern,Trincomalee,Kinniya,SZ-0041,Kinniya Cooperative Hall Safe Zone,CAMP-00698,Kinniya Relief Camp 698,8.579091,81.254567,160,41,18,156,2466,12,82,4.3,332,Good,Trincomalee District Secretariat Stores,Low,Low,Low,High,Low,No,None
PF-RD-00699,Eastern,Batticaloa,Kattankudy,SZ-0035,Kattankudy Community Hall Safe Zone,CAMP-00699,Kattankudy Relief Camp 699,7.683158,81.769191,491,108,42,357,3730,41,39,12.4,532,Good,Batticaloa Pradeshiya Sabha Stores,Medium,Medium,Medium,Medium,High,No,None
PF-RD-00700,Western,Gampaha,Wattala,SZ-0007,Wattala Central College Safe Zone,CAMP-00700,Wattala Relief Camp 700,7.109821,79.95179,318,62,24,295,4443,36,53,4.8,526,Good,Gampaha GN Division Collection Hub,Low,Low,Low,Medium,High,No,None
PF-RD-00701,Eastern,Batticaloa,Batticaloa,SZ-0033,Batticaloa Maha Vidyalaya Safe Zone,CAMP-00701,Batticaloa Relief Camp 701,7.724875,81.668347,1124,126,87,557,8801,106,519,4.7,1347,Good,Batticaloa DMC Coordination Centre,Medium,Medium,Medium,Medium,High,No,None
PF-RD-00702,North Western,Puttalam,Chilaw,SZ-0060,Chilaw Maha Vidyalaya Safe Zone,CAMP-00702,Chilaw Relief Camp 702,8.037159,79.82455,453,84,46,128,7785,53,38,16.6,986,Good,Puttalam DMC Coordination Centre,Medium,High,Low,Medium,High,No,None
PF-RD-00703,North Central,Anuradhapura,Thambuttegama,SZ-0050,Thambuttegama Training Centre Safe Zone,CAMP-00703,Thambuttegama Relief Camp 703,8.292608,80.506845,311,41,37,128,1122,23,123,13.1,487,Limited,Anuradhapura District Relief Warehouse,High,High,High,High,Low,No,None
PF-RD-00704,Eastern,Trincomalee,Kantale,SZ-0040,Kantale Training Centre Safe Zone,CAMP-00704,Kantale Relief Camp 704,8.631263,81.177258,806,156,118,188,5068,186,419,14.2,1567,Good,Trincomalee DMC Coordination Centre,High,High,High,Medium,High,No,None
PF-RD-00705,Western,Colombo,Kaduwela,SZ-0004,Kaduwela Divisional Secretariat Hall Safe Zone,CAMP-00705,Kaduwela Relief Camp 705,6.872478,79.880078,708,110,99,445,3384,49,68,15.1,1160,Limited,Colombo Army Relief Point,High,Medium,High,High,High,No,None
PF-RD-00706,Eastern,Ampara,Akkaraipattu,SZ-0037,Akkaraipattu Maha Vidyalaya Safe Zone,CAMP-00706,Akkaraipattu Relief Camp 706,7.323781,81.649609,286,71,25,230,1697,46,67,3.3,457,Good,Ampara District Secretariat Stores,Medium,Medium,High,Medium,Medium,No,None
PF-RD-00707,Central,Nuwara Eliya,Kotmale,SZ-0047,Kotmale Community Hall Safe Zone,CAMP-00707,Kotmale Relief Camp 707,6.943439,80.825009,267,51,9,111,1278,12,32,11.6,426,Limited,Nuwara Eliya Army Relief Point,High,High,High,High,High,No,None
PF-RD-00708,Central,Nuwara Eliya,Walapane,SZ-0048,Walapane Maha Vidyalaya Safe Zone,CAMP-00708,Walapane Relief Camp 708,6.931632,80.71489,691,236,105,629,13771,148,277,6.4,1491,Good,Nuwara Eliya GN Division Collection Hub,Low,Low,Low,High,Medium,No,None
PF-RD-00709,Western,Colombo,Kolonnawa,SZ-0002,Kolonnawa Primary School Safe Zone,CAMP-00709,Kolonnawa Relief Camp 709,6.859128,79.792069,335,97,72,128,6603,36,60,10.3,630,Good,Colombo District Relief Warehouse,Medium,High,Low,High,Medium,No,None
PF-RD-00710,Eastern,Ampara,Akkaraipattu,SZ-0037,Akkaraipattu Maha Vidyalaya Safe Zone,CAMP-00710,Akkaraipattu Relief Camp 710,7.325539,81.654121,216,65,15,273,3810,36,43,5.2,397,Good,Ampara District Secretariat Stores,Low,Low,Low,Medium,Medium,No,None
PF-RD-00711,North Western,Puttalam,Chilaw,SZ-0060,Chilaw Maha Vidyalaya Safe Zone,CAMP-00711,Chilaw Relief Camp 711,8.035027,79.815901,741,149,56,535,5893,89,272,10.2,1361,Limited,Puttalam DMC Coordination Centre,Medium,Medium,Medium,Medium,High,No,None
PF-RD-00712,Western,Colombo,Kolonnawa,SZ-0001,Kolonnawa Cooperative Hall Safe Zone,CAMP-00712,Kolonnawa Relief Camp 712,6.981828,79.826776,625,92,76,616,11848,139,302,8.8,673,Good,Colombo District Relief Warehouse,Low,Low,Low,Low,Medium,No,None
PF-RD-00713,North Central,Anuradhapura,Medawachchiya,SZ-0049,Medawachchiya Central College Safe Zone,CAMP-00713,Medawachchiya Relief Camp 713,8.395375,80.399261,714,132,84,330,1978,77,185,10.2,1196,Good,Anuradhapura Pradeshiya Sabha Stores,Medium,Medium,High,Medium,High,No,None
PF-RD-00714,Uva,Moneragala,Wellawaya,SZ-0070,Wellawaya Community Hall Safe Zone,CAMP-00714,Wellawaya Relief Camp 714,6.863976,81.296317,148,52,18,141,1365,35,53,4.5,171,Good,Moneragala Pradeshiya Sabha Stores,Medium,Low,Medium,High,Low,No,None
PF-RD-00715,Western,Gampaha,Wattala,SZ-0008,Wattala Cooperative Hall Safe Zone,CAMP-00715,Wattala Relief Camp 715,7.027581,79.964312,496,142,65,250,9833,37,116,7.6,1086,Good,Gampaha District Relief Warehouse,Medium,Medium,Low,High,Medium,No,None
PF-RD-00716,Southern,Matara,Deniyaya,SZ-0018,Deniyaya Cooperative Hall Safe Zone,CAMP-00716,Deniyaya Relief Camp 716,5.868328,80.554233,568,90,137,264,3194,128,158,3.1,1244,Good,Matara Army Relief Point,Medium,Medium,High,Medium,Medium,No,None
PF-RD-00717,Uva,Moneragala,Siyambalanduwa,SZ-0069,Siyambalanduwa Public Ground Safe Zone,CAMP-00717,Siyambalanduwa Relief Camp 717,6.787426,81.316033,581,221,82,702,2647,172,55,3.4,495,Good,Moneragala Army Relief Point,Medium,Low,High,High,High,No,None
PF-RD-00718,Central,Kandy,Akurana,SZ-0044,Akurana Central College Safe Zone,CAMP-00718,Akurana Relief Camp 718,7.207054,80.706858,477,136,82,257,1654,127,251,5.9,1024,Good,Kandy GN Division Collection Hub,Medium,Medium,High,High,Medium,No,None
PF-RD-00719,Sabaragamuwa,Kegalle,Ruwanwella,SZ-0066,Ruwanwella Central College Safe Zone,CAMP-00719,Ruwanwella Relief Camp 719,7.257027,80.281678,1189,265,138,137,10787,88,75,13.4,2509,Blocked,Kegalle District Secretariat Stores,High,High,Medium,High,High,No,None
PF-RD-00720,North Western,Puttalam,Chilaw,SZ-0060,Chilaw Maha Vidyalaya Safe Zone,CAMP-00720,Chilaw Relief Camp 720,8.041251,79.801302,543,162,99,479,3953,23,273,8.0,593,Good,Puttalam DMC Coordination Centre,Medium,Low,Medium,High,Medium,No,None
PF-RD-00721,Western,Colombo,Kaduwela,SZ-0004,Kaduwela Divisional Secretariat Hall Safe Zone,CAMP-00721,Kaduwela Relief Camp 721,6.883846,79.870094,563,79,65,449,1411,38,249,12.8,609,Good,Colombo Army Relief Point,Medium,Medium,High,High,Medium,No,None
PF-RD-00722,Western,Gampaha,Negombo,SZ-0005,Negombo Training Centre Safe Zone,CAMP-00722,Negombo Relief Camp 722,7.133084,80.02479,95,29,7,81,,10,39,8.8,168,Limited,Gampaha District Secretariat Stores,Low,Low,Medium,Medium,Low,Yes,missing_resource_value
PF-RD-00723,North Central,Polonnaruwa,Lankapura,SZ-0053,Lankapura Community Hall Safe Zone,CAMP-00723,Lankapura Relief Camp 723,7.932898,80.941034,202,48,17,237,3180,10,55,15.9,269,Good,Polonnaruwa District Relief Warehouse,Low,Low,Low,High,Medium,No,None
PF-RD-00724,Northern,Mannar,Nanaddan,SZ-0027,Nanaddan Sports Complex Safe Zone,CAMP-00724,Nanaddan Relief Camp 724,8.99726,79.894746,125,29,4,43,1132,28,17,12.2,134,Good,Mannar GN Division Collection Hub,Medium,High,Medium,Low,High,No,None
PF-RD-00725,North Western,Kurunegala,Kurunegala,SZ-0055,Kurunegala Cooperative Hall Safe Zone,CAMP-00725,Kurunegala Relief Camp 725,7.469092,80.367842,242,55,14,161,786,28,56,8.6,266,Limited,Kurunegala DMC Coordination Centre,Medium,Medium,High,Medium,Medium,No,None
PF-RD-00726,Western,Colombo,Kolonnawa,SZ-0002,Kolonnawa Primary School Safe Zone,CAMP-00726,Kolonnawa Relief Camp 726,6.857596,79.795162,410,29,44,132,6135,51,175,3.3,349,Goo,Colombo District Relief Warehouse,Medium,High,Low,Medium,Medium,Yes,road_status_typo
PF-RD-00727,Eastern,Batticaloa,Batticaloa,SZ-0032,Batticaloa Training Centre Safe Zone,CAMP-00727,Batticaloa Relief Camp 727,7.67785,81.727029,737,205,85,625,8152,67,375,20.5,1226,Good,Batticaloa District Relief Warehouse,Medium,Medium,Medium,Medium,High,No,None
PF-RD-00728,Western,Colombo,Kolonnawa,SZ-0001,Kolonnawa Cooperative Hall Safe Zone,CAMP-00728,Kolonnawa Relief Camp 728,6.998183,79.832359,39,11,5,16,176,1,4,5.0,42,Blocked,Colombo District Relief Warehouse,High,High,High,High,High,No,None
PF-RD-00729,Eastern,Batticaloa,Kattankudy,SZ-0035,Kattankudy Community Hall Safe Zone,CAMP-00729,Kattankudy Relief Camp 729,7.680341,81.746988,719,118,67,673,12004,126,51,0.8,585,Good,Batticaloa Pradeshiya Sabha Stores,Low,Low,Low,Low,High,No,None
PF-RD-00730,Northern,Jaffna,Chavakachcheri,SZ-0023,Chavakachcheri Maha Vidyalaya Safe Zone,CAMP-00730,Chavakachcheri Relief Camp 730,9.667682,80.101705,259,59,43,182,1572,48,71,5.5,551,Limited,Jaffna District Secretariat Stores,Medium,Medium,High,Medium,Medium,No,None
PF-RD-00731,Western,Kalutara,Beruwala,SZ-0012,Beruwala Maha Vidyalaya Safe Zone,CAMP-00731,Beruwala Relief Camp 731,6.655997,80.006098,522,85,82,317,4235,39,229,15.8,718,Good,Kalutara GN Division Collection Hub,Medium,Medium,Medium,High,Medium,No,None
PF-RD-00732,Western,Kalutara,Beruwala,SZ-0012,Beruwala Maha Vidyalaya Safe Zone,CAMP-00732,Beruwala Relief Camp 732,6.656094,80.029273,312,77,49,126,1462,50,51,13.2,291,Good,Kalutara GN Division Collection Hub,High,High,High,Medium,High,No,None
PF-RD-00733,Northern,Mannar,Nanaddan,SZ-0027,Nanaddan Sports Complex Safe Zone,CAMP-00733,Nanaddan Relief Camp 733,9.016144,79.891554,114,27,13,103,1225,17,43,14.5,201,Good,Mannar GN Division Collection Hub,Low,Low,Medium,Medium,Low,No,None
PF-RD-00734,Western,Kalutara,Horana,SZ-0010,Horana Sports Complex Safe Zone,CAMP-00734,Horana Relief Camp 734,6.506425,80.038479,78,18,8,39,538,3,20,8.2,111,Good,Kalutara GN Division Collection Hub,Medium,Medium,Medium,High,Medium,No,None
PF-RD-00735,Eastern,Trincomalee,Kinniya,SZ-0039,Kinniya Divisional Secretariat Hall Safe Zone,CAMP-00735,Kinniya Relief Camp 735,8.644715,81.299015,49,10,5,53,777,9,25,1.2,88,Good,Trincomalee GN Division Collection Hub,Low,Low,Low,Medium,Low,No,None
PF-RD-00736,Southern,Hambantota,Tissamaharama,SZ-0019,Tissamaharama Public Ground Safe Zone,CAMP-00736,Tissamaharama Relief Camp 736,6.094147,81.086388,141,54,13,103,1582,10,56,7.0,175,Limited,Hambantota GN Division Collection Hub,Medium,Medium,Medium,High,Low,No,None
PF-RD-00737,Southern,Hambantota,Tangalle,SZ-0020,Tangalle Public Ground Safe Zone,CAMP-00737,Tangalle Relief Camp 737,6.231812,81.147274,537,85,89,272,9621,44,73,6.1,1094,Good,Hambantota GN Division Collection Hub,Medium,Medium,Low,Medium,High,No,None
PF-RD-00738,Eastern,Ampara,Pottuvil,SZ-0036,Pottuvil Sports Complex Safe Zone,CAMP-00738,Pottuvil Relief Camp 738,7.29901,81.6783,718,137,69,599,7486,80,209,7.8,791,Good,Ampara DMC Coordination Centre,Medium,Medium,Medium,Medium,High,No,None
PF-RD-00739,North Western,Kurunegala,Kuliyapitiya,SZ-0056,Kuliyapitiya Central College Safe Zone,CAMP-00739,Kuliyapitiya Relief Camp 739,7.499283,80.355469,433,47,42,440,8746,29,188,16.1,860,Good,Kurunegala District Relief Warehouse,Low,Low,Low,High,Medium,No,None
PF-RD-00740,Southern,Galle,Hikkaduwa,SZ-0013,Hikkaduwa Maha Vidyalaya Safe Zone,CAMP-00740,Hikkaduwa Relief Camp 740,6.056139,80.24706,232,53,26,59,3904,27,103,6.7,405,Good,Galle DMC Coordination Centre,Low,High,Low,Medium,Low,No,None
PF-RD-00741,Western,Gampaha,Wattala,SZ-0008,Wattala Cooperative Hall Safe Zone,CAMP-00741,Wattala Relief Camp 741,7.054579,79.928303,677,86,74,592,9173,137,332,7.6,895,Good,Gampaha District Relief Warehouse,Low,Low,Low,Low,Medium,No,None
PF-RD-00742,Southern,Hambantota,Tissamaharama,SZ-0019,Tissamaharama Public Ground Safe Zone,CAMP-00742,Tissamaharama Relief Camp 742,6.092596,81.081005,491,86,18,581,4216,70,122,7.2,787,Good,Hambantota GN Division Collection Hub,Low,Low,Medium,Low,Medium,No,None
PF-RD-00743,Western,Colombo,Kolonnawa,SZ-0001,Kolonnawa Cooperative Hall Safe Zone,CAMP-00743,Kolonnawa Relief Camp 743,6.991738,79.822496,849,144,112,505,10277,137,193,9.7,1635,Good,Colombo District Relief Warehouse,Medium,Medium,Medium,Medium,High,No,None
PF-RD-00744,Eastern,Ampara,Akkaraipattu,SZ-0037,Akkaraipattu Maha Vidyalaya Safe Zone,CAMP-00744,Akkaraipattu Relief Camp 744,7.321999,81.654427,158,51,9,80,1307,18,17,16.3,225,Limited,Ampara District Secretariat Stores,Medium,Medium,Medium,Medium,High,No,None
PF-RD-00745,Northern,Kilinochchi,Pachchilaipalli,SZ-0025,Pachchilaipalli Cooperative Hall Safe Zone,CAMP-00745,Pachchilaipalli Relief Camp 745,9.377219,80.355225,502,129,40,553,3100,47,153,21.5,1013,Good,Kilinochchi District Secretariat Stores,Medium,Low,High,Medium,Medium,No,None
PF-RD-00746,Central,Nuwara Eliya,Walapane,SZ-0048,Walapane Maha Vidyalaya Safe Zone,CAMP-00746,Walapane Relief Camp 746,6.936777,80.713963,739,74,161,856,9018,56,271,7.8,1077,Good,Nuwara Eliya GN Division Collection Hub,Medium,Low,Medium,High,High,No,None
PF-RD-00747,Southern,Galle,Hikkaduwa,SZ-0013,Hikkaduwa Maha Vidyalaya Safe Zone,CAMP-00747,Hikkaduwa Relief Camp 747,6.039178,80.263176,124,12,11,105,598,17,10,2.9,176,Limited,Galle DMC Coordination Centre,Medium,Medium,High,Low,High,No,None
PF-RD-00748,Northern,Jaffna,Chavakachcheri,SZ-0023,Chavakachcheri Maha Vidyalaya Safe Zone,CAMP-00748,Chavakachcheri Relief Camp 748,9.636651,80.080468,346,73,35,436,2544,54,143,3.1,591,Good,Jaffna District Secretariat Stores,Low,Low,Medium,Medium,Low,No,None
PF-RD-00749,Western,Kalutara,Beruwala,SZ-0012,Beruwala Maha Vidyalaya Safe Zone,CAMP-00749,Beruwala Relief Camp 749,6.666959,80.006852,62,18,5,32,816,3,23,7.0,85,Good,Kalutara GN Division Collection Hub,Low,Medium,Low,High,Low,No,None
PF-RD-00750,Uva,Moneragala,Siyambalanduwa,SZ-0069,Siyambalanduwa Public Ground Safe Zone,CAMP-00750,Siyambalanduwa Relief Camp 750,6.790641,81.319366,152,16,19,83,369,6,11,24.2,178,Blocked,Moneragala Army Relief Point,High,Medium,High,High,High,No,None
PF-RD-00751,Central,Kandy,Teldeniya,SZ-0043,Teldeniya Maha Vidyalaya Safe Zone,CAMP-00751,Teldeniya Relief Camp 751,7.286218,80.637526,1002,190,76,291,11111,221,356,3.9,1335,Good,Kandy Pradeshiya Sabha Stores,Medium,High,Medium,Low,High,No,None
PF-RD-00752,Uva,Moneragala,Wellawaya,SZ-0070,Wellawaya Community Hall Safe Zone,CAMP-00752,Wellawaya Relief Camp 752,6.899201,81.308904,461,94,14,557,9245,58,229,9.5,559,Good,Moneragala Pradeshiya Sabha Stores,Low,Low,Low,Medium,Medium,No,None
PF-RD-00753,Sabaragamuwa,Kegalle,Kegalle,SZ-0065,Kegalle Temple Hall Safe Zone,CAMP-00753,Kegalle Relief Camp 753,7.318619,80.302624,72,22,6,21,867,9,10,15.2,133,Limited,Kegalle District Relief Warehouse,Medium,High,Medium,Medium,High,No,None
PF-RD-00754,North Western,Kurunegala,Kurunegala,SZ-0057,Kurunegala Training Centre Safe Zone,CAMP-00754,Kurunegala Relief Camp 754,7.513231,80.318675,256,53,29,111,1849,14,83,24.4,382,Limited,Kurunegala Army Relief Point,Medium,High,Medium,High,Medium,No,None
PF-RD-00755,Eastern,Ampara,Pottuvil,SZ-0036,Pottuvil Sports Complex Safe Zone,CAMP-00755,Pottuvil Relief Camp 755,7.294823,81.68513,54,15,4,17,1076,8,24,10.7,78,Good,Ampara DMC Coordination Centre,Low,High,Low,Medium,Low,No,None
PF-RD-00756,Eastern,Batticaloa,Batticaloa,SZ-0032,Batticaloa Training Centre Safe Zone,CAMP-00756,Batticaloa Relief Camp 756,7.652838,81.700694,726,131,74,632,5498,107,108,24.2,994,Limited,Batticaloa District Relief Warehouse,Medium,Low,Medium,Low,High,No,None
PF-RD-00757,Western,Kalutara,Horana,SZ-0010,Horana Sports Complex Safe Zone,CAMP-00757,Horana Relief Camp 757,6.512355,80.034209,474,81,73,129,4398,112,69,1.2,931,Good,Kalutara GN Division Collection Hub,Medium,High,Medium,Medium,High,No,None
PF-RD-00758,Eastern,Ampara,Akkaraipattu,SZ-0038,Akkaraipattu Primary School Safe Zone,CAMP-00758,Akkaraipattu Relief Camp 758,7.400654,81.676992,620,85,102,609,5648,116,88,5.1,731,Limited,Ampara GN Division Collection Hub,Medium,Low,Medium,Medium,High,No,None
PF-RD-00759,North Central,Anuradhapura,Kekirawa,SZ-0051,Kekirawa Central College Safe Zone,CAMP-00759,Kekirawa Relief Camp 759,8.29486,80.442948,560,97,23,140,3165,73,278,7.7,1178,Good,Anuradhapura District Relief Warehouse,Medium,High,High,Medium,Medium,No,None
PF-RD-00760,North Western,Kurunegala,Kuliyapitiya,SZ-0056,Kuliyapitiya Central College Safe Zone,CAMP-00760,Kuliyapitiya Relief Camp 760,7.480651,80.349135,568,124,41,512,3013,129,106,9.9,1005,Good,Kurunegala District Relief Warehouse,Low,Low,High,Low,Medium,No,None
PF-RD-00761,Eastern,Trincomalee,Kinniya,SZ-0041,Kinniya Cooperative Hall Safe Zone,CAMP-00761,Kinniya Relief Camp 761,8.54735,81.265263,345,68,33,253,6537,30,103,5.5,456,Good,Trincomalee District Secretariat Stores,Low,Medium,Low,Medium,Medium,No,None
PF-RD-00762,Northern,Vavuniya,Vavuniya,SZ-0031,Vavuniya Public Ground Safe Zone,CAMP-00762,Vavuniya Relief Camp 762,8.824884,80.498365,198,43,36,89,1562,35,21,14.9,277,Good,Vavuniya GN Division Collection Hub,Medium,High,Medium,Medium,High,No,None
PF-RD-00763,North Central,Polonnaruwa,Lankapura,SZ-0053,Lankapura Community Hall Safe Zone,CAMP-00763,Lankapura Relief Camp 763,7.956579,80.949759,675,164,95,454,5192,87,34,29.4,1043,Blocked,Polonnaruwa District Relief Warehouse,Medium,Medium,Medium,Medium,High,No,None
PF-RD-00764,Southern,Galle,Galle Four Gravets,SZ-0015,Galle Four Gravets Temple Hall Safe Zone,CAMP-00764,Galle Four Gravets Relief Camp 764,6.059342,80.278632,296,81,33,155,5382,25,78,18.0,592,Good,Galle Army Relief Point,Medium,Medium,Low,High,Medium,No,None
PF-RD-00765,Central,Matale,Matale,SZ-0045,Matale Temple Hall Safe Zone,CAMP-00765,Matale Relief Camp 765,7.452245,80.554004,1161,233,84,1385,12893,173,535,4.0,2047,Good,Matale Army Relief Point,Low,Low,Medium,Low,High,No,None
PF-RD-00766,Central,Kandy,Akurana,SZ-0044,Akurana Central College Safe Zone,CAMP-00766,Akurana Relief Camp 766,7.228291,80.713869,488,117,21,120,5120,101,224,5.3,518,Good,Kandy GN Division Collection Hub,Medium,High,Medium,Low,Medium,No,None
PF-RD-00767,North Western,Puttalam,Chilaw,SZ-0060,Chilaw Maha Vidyalaya Safe Zone,CAMP-00767,Chilaw Relief Camp 767,8.039807,79.818832,1145,253,167,1091,13783,69,166,4.5,2018,Limited,Puttalam DMC Coordination Centre,Medium,Low,Medium,High,High,No,None
PF-RD-00768,North Western,Kurunegala,Kuliyapitiya,SZ-0056,Kuliyapitiya Central College Safe Zone,CAMP-00768,Kuliyapitiya Relief Camp 768,7.4747,80.37488,235,41,44,225,2298,21,73,3.0,408,Good,Kurunegala District Relief Warehouse,Low,Low,Medium,Medium,Medium,No,None
PF-RD-00769,Southern,Galle,Galle Four Gravets,SZ-0015,Galle Four Gravets Temple Hall Safe Zone,CAMP-00769,Galle Four Gravets Relief Camp 769,6.038818,80.285377,307,59,40,190,1479,33,115,4.7,463,Good,Galle Army Relief Point,Medium,Medium,High,Medium,Low,No,None
PF-RD-00770,Western,Kalutara,Beruwala,SZ-0012,Beruwala Maha Vidyalaya Safe Zone,CAMP-00770,Beruwala Relief Camp 770,6.644117,80.043,873,208,102,598,2770,33,141,24.7,1736,Good,Kalutara GN Division Collection Hub,High,Medium,High,High,High,No,None
PF-RD-00771,Sabaragamuwa,Kegalle,Ruwanwella,SZ-0066,Ruwanwella Central College Safe Zone,CAMP-00771,Ruwanwella Relief Camp 771,7.254096,80.28268,1065,233,210,,16667,273,528,15.2,2127,Good,Kegalle District Secretariat Stores,Medium,High,Low,Medium,High,Yes,missing_resource_value
PF-RD-00772,Sabaragamuwa,Ratnapura,Balangoda,SZ-0063,Balangoda Primary School Safe Zone,CAMP-00772,Balangoda Relief Camp 772,6.756659,80.435551,253,66,41,103,1948,48,37,7.4,457,Limited,Ratnapura District Secretariat Stores,Medium,High,Medium,Medium,High,No,None
PF-RD-00773,Eastern,Ampara,Akkaraipattu,SZ-0037,Akkaraipattu Maha Vidyalaya Safe Zone,CAMP-00773,Akkaraipattu Relief Camp 773,7.316014,81.648389,225,36,27,291,858,14,58,9.5,356,Good,Ampara District Secretariat Stores,Medium,Low,High,High,Medium,No,None
PF-RD-00774,Western,Kalutara,Horana,SZ-0010,Horana Sports Complex Safe Zone,CAMP-00774,Horana Relief Camp 774,6.533589,80.015391,151,55,20,72,459,36,62,1.7,213,Limited,Kalutara GN Division Collection Hub,Medium,Medium,High,High,Low,No,None
PF-RD-00775,Western,Colombo,Kolonnawa,SZ-0002,Kolonnawa Primary School Safe Zone,CAMP-00775,Kolonnawa Relief Camp 775,6.861892,79.808964,245,37,45,51,1201,29,42,12.6,369,Blocked,Colombo District Relief Warehouse,High,High,High,Medium,Medium,No,None
PF-RD-00776,Northern,Vavuniya,Vavuniya South,SZ-0030,Vavuniya South Public Ground Safe Zone,CAMP-00776,Vavuniya South Relief Camp 776,8.795049,80.454266,129,15,15,61,389,8,16,7.4,212,Blocked,Vavuniya GN Division Collection Hub,High,Medium,High,High,High,No,None
